1,-1,3394,1406,112,156,1,-1,-1,-1
1,-1,2806,1242,100,127,1,-1,-1,-1
1,-1,2137,1049,93,109,1,-1,-1,-1
1,-1,2559,1172,87,119,1,-1,-1,-1
1,-1,3080,1310,102,146,1,-1,-1,-1
1,-1,1778,951,101,107,1,-1,-1,-1
1,-1,2338,1106,83,122,1,-1,-1,-1
1,-1,1943,997,94,110,1,-1,-1,-1
2,-1,3395,1403,112,158,1,-1,-1,-1
2,-1,2806,1244,101,123,1,-1,-1,-1
2,-1,2138,1050,93,107,1,-1,-1,-1
2,-1,2559,1174,88,117,1,-1,-1,-1
2,-1,3081,1311,102,145,1,-1,-1,-1
2,-1,2336,1107,84,123,1,-1,-1,-1
2,-1,1778,949,103,109,1,-1,-1,-1
2,-1,1941,998,98,110,1,-1,-1,-1
3,-1,3398,1405,107,155,1,-1,-1,-1
3,-1,2807,1243,99,127,1,-1,-1,-1
3,-1,2135,1050,96,108,1,-1,-1,-1
3,-1,2559,1171,87,117,1,-1,-1,-1
3,-1,1776,951,100,107,1,-1,-1,-1
3,-1,3079,1311,102,145,1,-1,-1,-1
3,-1,2337,1108,84,118,1,-1,-1,-1
3,-1,1942,996,97,111,1,-1,-1,-1
4,-1,3399,1402,107,156,1,-1,-1,-1
4,-1,2804,1240,99,128,1,-1,-1,-1
4,-1,2556,1170,87,117,1,-1,-1,-1
4,-1,2131,1048,95,109,1,-1,-1,-1
4,-1,3079,1314,104,143,1,-1,-1,-1
4,-1,2336,1107,82,120,1,-1,-1,-1
4,-1,1943,994,94,111,1,-1,-1,-1
4,-1,1772,949,103,108,1,-1,-1,-1
5,-1,3400,1402,106,154,1,-1,-1,-1
5,-1,2805,1240,99,129,1,-1,-1,-1
5,-1,2556,1170,88,117,1,-1,-1,-1
5,-1,2130,1048,96,109,1,-1,-1,-1
5,-1,2336,1107,82,120,1,-1,-1,-1
5,-1,3080,1312,103,143,1,-1,-1,-1
5,-1,1942,992,96,112,1,-1,-1,-1
5,-1,1773,950,103,107,1,-1,-1,-1
6,-1,3396,1404,113,158,1,-1,-1,-1
6,-1,2806,1241,100,128,1,-1,-1,-1
6,-1,2135,1051,96,108,1,-1,-1,-1
6,-1,2559,1171,87,118,1,-1,-1,-1
6,-1,2338,1109,83,117,1,-1,-1,-1
6,-1,1776,951,101,107,1,-1,-1,-1
6,-1,3079,1311,102,146,1,-1,-1,-1
6,-1,1941,996,98,110,1,-1,-1,-1
7,-1,2806,1244,100,125,1,-1,-1,-1
7,-1,3400,1406,109,155,1,-1,-1,-1
7,-1,2560,1175,87,116,1,-1,-1,-1
7,-1,2139,1054,93,102,1,-1,-1,-1
7,-1,2335,1110,84,118,1,-1,-1,-1
7,-1,3083,1313,100,142,1,-1,-1,-1
7,-1,1778,949,104,108,1,-1,-1,-1
7,-1,1941,999,98,111,1,-1,-1,-1
8,-1,3397,1403,112,158,1,-1,-1,-1
8,-1,2805,1243,100,125,1,-1,-1,-1
8,-1,2558,1174,88,116,1,-1,-1,-1
8,-1,2136,1052,94,106,1,-1,-1,-1
8,-1,2336,1110,85,118,1,-1,-1,-1
8,-1,3082,1312,101,144,1,-1,-1,-1
8,-1,1942,998,97,110,1,-1,-1,-1
8,-1,1779,949,103,108,1,-1,-1,-1
9,-1,3396,1403,113,158,1,-1,-1,-1
9,-1,2806,1242,100,127,1,-1,-1,-1
9,-1,2134,1053,96,106,1,-1,-1,-1
9,-1,2559,1172,86,118,1,-1,-1,-1
9,-1,2337,1111,84,115,1,-1,-1,-1
9,-1,3080,1311,101,147,1,-1,-1,-1
9,-1,1778,951,100,107,1,-1,-1,-1
9,-1,1942,998,96,110,1,-1,-1,-1
10,-1,3397,1403,111,157,1,-1,-1,-1
10,-1,2805,1244,101,127,1,-1,-1,-1
10,-1,2132,1053,98,105,1,-1,-1,-1
10,-1,2558,1170,87,120,1,-1,-1,-1
10,-1,1777,951,100,107,1,-1,-1,-1
10,-1,2336,1109,84,116,1,-1,-1,-1
10,-1,1940,995,100,112,1,-1,-1,-1
10,-1,3079,1313,102,143,1,-1,-1,-1
11,-1,3398,1403,109,156,1,-1,-1,-1
11,-1,2805,1242,100,128,1,-1,-1,-1
11,-1,2133,1052,97,107,1,-1,-1,-1
11,-1,2557,1169,87,120,1,-1,-1,-1
11,-1,1776,950,99,108,1,-1,-1,-1
11,-1,1941,995,98,111,1,-1,-1,-1
11,-1,2336,1109,84,117,1,-1,-1,-1
11,-1,3080,1311,101,147,1,-1,-1,-1
12,-1,3399,1402,111,158,1,-1,-1,-1
12,-1,2806,1242,100,126,1,-1,-1,-1
12,-1,2133,1051,96,108,1,-1,-1,-1
12,-1,2558,1171,86,119,1,-1,-1,-1
12,-1,2336,1110,84,117,1,-1,-1,-1
12,-1,3080,1306,102,154,1,-1,-1,-1
12,-1,1779,950,99,107,1,-1,-1,-1
12,-1,1943,997,95,109,1,-1,-1,-1
13,-1,3399,1403,111,158,1,-1,-1,-1
13,-1,2804,1242,101,124,1,-1,-1,-1
13,-1,2136,1050,94,109,1,-1,-1,-1
13,-1,2557,1174,88,116,1,-1,-1,-1
13,-1,2336,1110,86,118,1,-1,-1,-1
13,-1,3082,1311,101,145,1,-1,-1,-1
13,-1,1943,997,95,110,1,-1,-1,-1
13,-1,1779,948,101,108,1,-1,-1,-1
14,-1,3398,1403,111,158,1,-1,-1,-1
14,-1,2136,1050,95,108,1,-1,-1,-1
14,-1,2804,1243,102,124,1,-1,-1,-1
14,-1,2557,1173,87,118,1,-1,-1,-1
14,-1,2336,1111,86,117,1,-1,-1,-1
14,-1,3081,1310,101,147,1,-1,-1,-1
14,-1,1778,950,103,107,1,-1,-1,-1
14,-1,1943,998,95,110,1,-1,-1,-1
15,-1,3398,1404,110,155,1,-1,-1,-1
15,-1,2805,1243,100,127,1,-1,-1,-1
15,-1,2134,1053,96,107,1,-1,-1,-1
15,-1,2557,1170,86,121,1,-1,-1,-1
15,-1,2336,1109,84,116,1,-1,-1,-1
15,-1,1777,950,100,108,1,-1,-1,-1
15,-1,1942,996,97,110,1,-1,-1,-1
15,-1,3080,1309,101,151,1,-1,-1,-1
16,-1,2801,1242,101,129,1,-1,-1,-1
16,-1,3400,1402,106,154,1,-1,-1,-1
16,-1,2133,1053,97,107,1,-1,-1,-1
16,-1,2557,1169,87,120,1,-1,-1,-1
16,-1,2336,1108,83,118,1,-1,-1,-1
