#Header, frames per second, video resolution(hight width), total number of frames in video.
FPS: 29.97
RES: 720 1280
TNF: 660
#Data x, y, h, w, c, and l always in this order, for each lane. Sorted in order.
{464, 260, 30, 177, 4, 4}{457, 284, 40, 185, 4, 5}{354, 345, 46, 225, 4, 6}{299, 440, 45, 279, 4, 7}{229, 552, 72, 389, 4, 8}
{464, 258, 40, 153, 4, 4}{446, 292, 43, 186, 4, 5}{327, 339, 54, 211, 4, 6}{276, 440, 43, 265, 4, 7}{190, 554, 69, 388, 4, 8}
{472, 259, 38, 129, 4, 4}{447, 283, 52, 174, 4, 5}{321, 347, 52, 212, 4, 6}{253, 448, 38, 248, 4, 7}{153, 551, 74, 379, 4, 8}
{462, 258, 34, 145, 4, 4}{445, 290, 42, 172, 4, 5}{300, 335, 62, 199, 4, 6}{226, 440, 47, 245, 4, 7}{124, 539, 79, 332, 4, 8}
{667, 242, 32, 101, 4, 4}{755, 272, 33, 98, 4, 5}{847, 297, 44, 98, 4, 6}{979, 338, 46, 119, 4, 7}{1127, 357, 66, 141, 4, 8}
{656, 245, 33, 97, 4, 4}{760, 270, 37, 84, 4, 5}{835, 304, 40, 117, 4, 6}{979, 338, 46, 119, 4, 7}{1118, 355, 71, 147, 4, 8}
{656, 241, 36, 97, 4, 4}{748, 273, 32, 91, 4, 5}{835, 304, 40, 117, 4, 6}{963, 336, 54, 111, 4, 7}{1118, 355, 71, 147, 4, 8}
{644, 241, 33, 94, 4, 4}{746, 262, 43, 99, 4, 5}{825, 298, 41, 113, 4, 6}{963, 336, 54, 111, 4, 7}{1113, 354, 71, 147, 4, 8}
{635, 236, 33, 99, 4, 4}{740, 268, 36, 90, 4, 5}{809, 299, 42, 131, 4, 6}{941, 341, 47, 126, 4, 7}{1099, 362, 71, 127, 4, 8}
{634, 235, 35, 99, 4, 4}{731, 261, 43, 101, 4, 5}{809, 299, 42, 131, 4, 6}{941, 341, 47, 126, 4, 7}{1099, 362, 71, 127, 4, 8}
{616, 236, 29, 105, 4, 4}{723, 261, 40, 111, 4, 5}{792, 296, 35, 131, 4, 6}{924, 345, 41, 129, 4, 7}{1096, 361, 71, 127, 4, 8}
{609, 231, 30, 102, 4, 4}{712, 255, 42, 104, 4, 5}{792, 296, 35, 131, 4, 6}{924, 345, 41, 129, 4, 7}{1091, 360, 71, 127, 4, 8}
