#Header, frames per second, video resolution(hight width), total number of frames in video.
FPS: 29.97
RES: 720 1280
TNF: 216
#Data x, y, h, w, c, and l always in this order, for each lane. Sorted in order.
{807, 139, 72, 63, 1, 3}{886, 120, 136, 44, 1, 5}{902, 176, 118, 89, 1, 6}{993, 152, 201, 79, 1, 7}{1091, 238, 220, 143, 1, 8}
{807, 139, 72, 63, 1, 3}{886, 120, 136, 44, 1, 5}{902, 176, 118, 89, 1, 6}{1000, 161, 194, 68, 1, 7}
{807, 139, 72, 63, 1, 3}{886, 120, 136, 44, 1, 5}{901, 168, 123, 82, 1, 6}{991, 168, 193, 73, 1, 7}
{877, 112, 138, 52, 1, 5}{900, 169, 121, 86, 1, 6}{988, 171, 186, 80, 1, 7}
{877, 112, 138, 52, 1, 5}{896, 168, 127, 85, 1, 6}{978, 180, 174, 88, 1, 7}
{877, 112, 138, 52, 1, 5}{897, 161, 133, 94, 1, 6}{978, 191, 158, 96, 1, 7}
{877, 112, 138, 52, 1, 5}{897, 173, 115, 96, 1, 6}{979, 200, 151, 91, 1, 7}
{877, 112, 138, 52, 1, 5}{899, 170, 125, 91, 1, 6}{974, 203, 151, 97, 1, 7}
{877, 112, 138, 52, 1, 5}{899, 170, 125, 88, 1, 6}{976, 207, 145, 103, 1, 7}
{877, 112, 138, 52, 1, 5}{897, 170, 122, 89, 1, 6}{971, 215, 133, 106, 1, 7}
{880, 119, 129, 49, 1, 5}{903, 170, 121, 81, 1, 6}{968, 208, 150, 110, 1, 7}
{880, 119, 129, 49, 1, 5}{893, 166, 125, 95, 1, 6}{967, 209, 147, 106, 1, 7}
{880, 119, 129, 49, 1, 5}{895, 171, 117, 92, 1, 6}{971, 207, 155, 101, 1, 7}
{880, 119, 129, 49, 1, 5}{897, 171, 118, 90, 1, 6}{963, 196, 160, 125, 1, 7}
{880, 119, 129, 49, 1, 5}{897, 167, 127, 89, 1, 6}{974, 210, 147, 104, 1, 7}
{878, 126, 124, 47, 1, 5}{895, 172, 119, 92, 1, 6}{971, 212, 141, 106, 1, 7}
{878, 126, 124, 47, 1, 5}{900, 170, 119, 87, 1, 6}{971, 212, 145, 108, 1, 7}
{878, 126, 124, 47, 1, 5}{900, 176, 117, 87, 1, 6}{970, 206, 158, 104, 1, 7}
{876, 133, 115, 54, 1, 5}{898, 172, 117, 88, 1, 6}{969, 218, 135, 103, 1, 7}
{876, 133, 115, 54, 1, 5}{900, 169, 124, 82, 1, 6}{974, 214, 140, 103, 1, 7}
{876, 133, 115, 54, 1, 5}{900, 170, 119, 84, 1, 6}{966, 212, 137, 119, 1, 7}
{876, 133, 115, 54, 1, 5}{895, 167, 124, 91, 1, 6}{971, 214, 138, 112, 1, 7}
{876, 133, 115, 54, 1, 5}{897, 172, 119, 88, 1, 6}{974, 209, 141, 101, 1, 7}
{876, 133, 115, 54, 1, 5}{898, 168, 122, 91, 1, 6}{972, 210, 150, 109, 1, 7}
{876, 133, 115, 54, 1, 5}{893, 171, 121, 94, 1, 6}{973, 219, 138, 101, 1, 7}
{876, 133, 115, 54, 1, 5}{895, 171, 123, 89, 1, 6}{971, 221, 134, 117, 1, 7}
{870, 133, 120, 58, 1, 5}{898, 172, 118, 103, 1, 6}{975, 220, 133, 98, 1, 7}
{870, 133, 120, 58, 1, 5}{895, 171, 124, 101, 1, 6}{973, 211, 141, 108, 1, 7}
{870, 133, 120, 58, 1, 5}{897, 171, 122, 99, 1, 6}{965, 210, 144, 109, 1, 7}
{864, 142, 108, 67, 1, 5}{902, 179, 110, 94, 1, 6}{962, 215, 137, 113, 1, 7}
{864, 148, 103, 74, 1, 5}{902, 182, 110, 97, 1, 6}{954, 210, 145, 128, 1, 7}
{864, 156, 100, 70, 1, 5}{896, 183, 107, 102, 1, 6}{961, 218, 131, 104, 1, 7}
{864, 156, 100, 70, 1, 5}{898, 185, 107, 103, 1, 6}{961, 220, 136, 123, 1, 7}
{864, 156, 100, 70, 1, 5}{891, 187, 105, 109, 1, 6}{957, 213, 140, 126, 1, 7}
{861, 165, 87, 68, 1, 5}{902, 187, 101, 101, 1, 6}{962, 219, 140, 125, 1, 7}
{861, 165, 87, 68, 1, 5}{898, 190, 103, 103, 1, 6}{958, 216, 143, 128, 1, 7}
{861, 165, 87, 68, 1, 5}{902, 190, 103, 97, 1, 6}{955, 230, 129, 141, 1, 7}
{857, 162, 90, 74, 1, 5}{895, 187, 107, 104, 1, 6}{954, 222, 139, 135, 1, 7}
