#Header, frames per second, video resolution(hight width), total number of frames in video.
FPS: 30
RES: 1080 1920
TNF: 211
Skip: 3
#Data x, y, h, w, c, and l always in this order, for each lane. Sorted in order.
{1687, 628, 136, 233, 2, 8}
{1671, 575, 181, 249, 2, 8}
{1605, 572, 181, 315, 2, 8}
{1636, 643, 115, 274, 2, 8}
{1621, 664, 89, 276, 2, 8}
{1620, 670, 86, 263, 2, 8}
{1631, 646, 117, 184, 2, 8}
{1440, 593, 163, 401, 2, 8}
{1410, 566, 197, 421, 2, 8}
{1286, 645, 134, 536, 2, 8}
{1259, 650, 123, 580, 2, 8}
{1226, 624, 143, 437, 2, 8}
{1245, 634, 142, 449, 2, 8}
{1237, 642, 127, 424, 2, 8}
{1259, 639, 125, 428, 2, 8}
{1213, 576, 181, 402, 2, 8}
{1136, 609, 151, 397, 2, 8}
{1038, 659, 107, 425, 2, 8}
{1075, 653, 105, 396, 2, 8}
{1073, 677, 124, 435, 2, 8}
{1083, 593, 217, 362, 2, 8}
{1025, 587, 211, 345, 2, 8}
{924, 662, 129, 449, 2, 8}
{878, 687, 98, 500, 2, 8}
{847, 683, 101, 427, 2, 8}
{859, 684, 104, 423, 2, 8}
{867, 699, 104, 367, 2, 8}
{836, 695, 118, 374, 2, 8}
{796, 704, 94, 412, 2, 8}
{770, 699, 89, 404, 4, 8}
{737, 699, 82, 412, 4, 8}
{703, 711, 67, 402, 4, 8}
{674, 702, 86, 399, 4, 8}
{655, 707, 83, 343, 4, 8}
{644, 699, 99, 274, 4, 8}
{676, 676, 133, 216, 4, 8}
{660, 679, 134, 221, 4, 8}
{637, 659, 144, 217, 4, 8}
{599, 639, 161, 240, 4, 8}
{543, 655, 154, 298, 4, 8}
{509, 696, 123, 348, 4, 8}
{501, 724, 92, 332, 4, 8}
{496, 727, 95, 403, 4, 8}
{514, 721, 100, 393, 4, 8}
{504, 730, 105, 520, 4, 8}
























